거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-11,15,인천시,태양광,6.857176
2024-01-11,16,인천시,태양광,4.95932
2024-01-11,17,인천시,태양광,6.726351
2024-01-11,18,인천시,태양광,2.779098
2024-01-11,19,인천시,태양광,1.336894
2024-01-11,20,인천시,태양광,0.16512
2024-01-11,21,인천시,태양광,0.01064
2024-01-11,22,인천시,태양광,8e-05
2024-01-11,23,인천시,태양광,0.0
2024-01-11,24,인천시,태양광,0.0
2024-01-12,1,인천시,태양광,0.0
2024-01-12,2,인천시,태양광,0.0
2024-01-12,3,인천시,태양광,0.0
2024-01-12,4,인천시,태양광,0.0
2024-01-12,5,인천시,태양광,0.0
2024-01-12,6,인천시,태양광,0.0
2024-01-12,7,인천시,태양광,0.0
2024-01-12,8,인천시,태양광,0.008481
2024-01-12,9,인천시,태양광,2.155588
2024-01-12,10,인천시,태양광,10.294018
2024-01-12,11,인천시,태양광,19.492068
2024-01-12,12,인천시,태양광,26.331248
2024-01-12,13,인천시,태양광,30.263364
2024-01-12,14,인천시,태양광,30.351211
2024-01-12,15,인천시,태양광,26.660676
2024-01-12,16,인천시,태양광,19.825705
2024-01-12,17,인천시,태양광,11.914728
2024-01-12,18,인천시,태양광,7.173913
2024-01-12,19,인천시,태양광,3.321034
2024-01-12,20,인천시,태양광,1.591638
2024-01-12,21,인천시,태양광,0.785038
2024-01-12,22,인천시,태양광,0.016681
2024-01-12,23,인천시,태양광,0.0024
2024-01-12,24,인천시,태양광,0.0
2024-01-13,1,인천시,태양광,0.0
2024-01-13,2,인천시,태양광,0.0
2024-01-13,3,인천시,태양광,0.0
2024-01-13,4,인천시,태양광,0.0
2024-01-13,5,인천시,태양광,0.0
2024-01-13,6,인천시,태양광,0.0
2024-01-13,7,인천시,태양광,0.0
2024-01-13,8,인천시,태양광,0.01601
2024-01-13,9,인천시,태양광,2.368717
2024-01-13,10,인천시,태양광,11.278464
2024-01-13,11,인천시,태양광,19.944122
2024-01-13,12,인천시,태양광,26.444517
2024-01-13,13,인천시,태양광,29.49094
2024-01-13,14,인천시,태양광,29.56526
2024-01-13,15,인천시,태양광,25.90289
2024-01-13,16,인천시,태양광,19.462616
2024-01-13,17,인천시,태양광,12.039737
2024-01-13,18,인천시,태양광,7.272924
2024-01-13,19,인천시,태양광,3.47919
2024-01-13,20,인천시,태양광,1.571717
2024-01-13,21,인천시,태양광,0.864917
